account_id,account_age_days
1,134
2,1161
3,982
4,658
5,650
6,1288
7,129
8,1046
9,303
10,142
11,790
12,1463
13,1103
14,1141
15,1076
16,1179
17,770
18,193
19,1259
20,676
21,751
22,556
23,274
24,1390
25,1172
26,966
27,604
28,1234
29,818
30,665
31,676
32,341
33,139
34,832
35,1331
36,96
37,1287
38,1241
39,415
40,947
41,248
42,1137
43,1051
44,532
45,102
46,1456
47,669
48,1339
49,1017
50,1167
51,1140
52,292
53,546
54,700
55,747
56,66
57,820
58,232
59,1115
60,1024
61,1383
62,1117
63,550
64,1451
65,616
66,489
67,1358
68,556
69,115
70,704
71,1193
72,285
73,694
74,195
75,1030
76,714
77,495
78,341
79,847
80,1005
81,1410
82,656
83,241
84,1249
85,945
86,1050
87,146
88,469
89,1151
90,1248
91,653
92,1207
93,1262
94,581
95,1347
96,433
97,360
98,1024
99,955
100,210
101,1249
102,300
103,1207
104,12
105,1195
106,1180
107,1170
108,997
109,707
110,1058
111,416
112,1171
113,833
114,688
115,758
116,853
117,56
118,210
119,368
120,172
121,659
122,1002
123,981
124,707
125,1282
126,848
127,119
128,1147
129,862
130,952
131,848
132,830
133,136
134,839
135,1192
136,456
137,904
138,47
139,521
140,655
141,1474
142,322
143,415
144,613
145,1489
146,1280
147,53
148,351
149,1232
150,88
151,1283
152,422
153,1376
154,441
155,652
156,993
157,190
158,835
159,758
160,1176
161,1494
162,996
163,614
164,610
165,627
166,1221
167,482
168,251
169,502
170,35
171,160
172,135
173,1157
174,1083
175,1045
176,693
177,1075
178,242
179,1351
180,752
181,1407
182,229
183,746
184,1044
185,743
186,669
187,250
188,572
189,358
190,452
191,1025
192,945
193,911
194,543
195,1439
196,132
197,514
198,177
199,509
200,1442
201,550
202,1362
203,743
204,1049
205,686
206,399
207,1146
208,1453
209,396
210,1168
211,392
212,1075
213,1183
214,674
215,1105
216,409
217,119
218,145
219,671
220,1354
221,192
222,684
223,1056
224,304
225,1082
226,459
227,1213
228,869
229,820
230,265
231,695
232,1285
233,30
234,1138
235,739
236,1079
237,995
238,648
239,463
240,941
241,211
242,876
243,142
244,975
245,943
246,127
247,1136
248,624
249,1180
250,63
251,270
252,741
253,283
254,495
255,991
256,217
257,1016
258,156
259,263
260,881
261,1190
262,256
263,450
264,1387
265,1484
266,872
267,671
268,520
269,919
270,886
271,442
272,35
273,228
274,1437
275,627
276,723
277,701
278,1174
279,98
280,125
281,414
282,730
283,1007
284,736
285,662
286,1406
287,242
288,858
289,813
290,710
291,1211
292,401
293,1430
294,498
295,817
296,781
297,1274
298,658
299,427
300,33
301,546
302,1239
303,15
304,1344
305,814
306,211
307,453
308,831
309,474
310,163
311,999
312,1008
313,179
314,422
315,366
316,989
317,1095
318,1090
319,1408
320,1153
321,481
322,162
323,922
324,1374
325,1462
326,346
327,355
328,57
329,212
330,832
331,820
332,557
333,465
334,1244
335,690
336,1212
337,1444
338,476
339,304
340,1429
341,952
342,437
343,933
344,773
345,1358
346,384
347,1487
348,1404
349,271
350,247
351,800
352,68
353,448
354,653
355,1454
356,1488
357,228
358,1337
359,137
360,1123
361,1268
362,1336
363,335
364,1340
365,174
366,778
367,704
368,474
369,34
370,1158
371,504
372,992
373,615
374,561
375,1329
376,142
377,1105
378,1120
379,570
380,394
381,8
382,1405
383,1421
384,362
385,48
386,185
387,102
388,1246
389,1337
390,230
391,1120
392,269
393,551
394,899
395,1080
396,1311
397,68
398,295
399,421
400,466
401,1497
402,1166
403,481
404,1457
405,749
406,751
407,651
408,216
409,1401
410,21
411,262
412,345
413,419
414,198
415,27
416,1016
417,1453
418,183
419,445
420,759
421,1391
422,1041
423,1149
424,872
425,626
426,300
427,1296
428,1206
429,38
430,1073
431,127
432,1108
433,1239
434,197
435,651
436,186
437,851
438,1391
439,122
440,596
441,1459
442,452
443,199
444,733
445,763
446,994
447,471
448,1433
449,782
450,430
451,1440
452,1387
453,749
454,38
455,895
456,833
457,223
458,951
459,1261
460,159
461,1085
462,211
463,1123
464,629
465,10
466,1449
467,249
468,894
469,273
470,1399
471,1107
472,1206
473,648
474,701
475,951
476,1177
477,1270
478,27
479,995
480,164
481,432
482,1244
483,376
484,1195
485,695
486,349
487,502
488,796
489,1147
490,909
491,1399
492,1301
493,1130
494,905
495,435
496,619
497,179
498,561
499,1389
500,639
501,171
502,978
503,1443
504,1301
505,411
506,681
507,796
508,372
509,403
510,355
511,1491
512,1119
513,1261
514,1225
515,1438
516,158
517,1322
518,100
519,713
520,892
521,537
522,220
523,289
524,1237
525,478
526,466
527,1385
528,216
529,1372
530,1381
531,898
532,249
533,234
534,427
