merchant_id,category
1,services
2,food
3,electronics
4,electronics
5,retail
6,retail
7,food
8,services
9,travel
10,travel
11,travel
12,travel
13,services
14,retail
15,travel
16,food
17,services
18,retail
19,retail
20,travel
21,travel
22,travel
23,electronics
24,services
25,food
26,services
27,travel
28,food
29,retail
30,retail
31,food
32,electronics
33,travel
34,travel
35,food
36,food
37,services
38,retail
39,services
40,electronics
41,electronics
42,food
43,electronics
44,food
45,food
46,food
47,retail
48,food
49,electronics
50,services
51,food
52,food
53,food
54,retail
55,retail
56,electronics
57,services
58,services
59,food
60,electronics
61,retail
62,electronics
63,travel
64,food
65,services
66,travel
67,food
68,services
69,services
70,services
71,travel
72,food
73,travel
74,electronics
75,food
76,electronics
77,retail
78,retail
79,food
80,retail
81,electronics
82,food
83,retail
84,services
85,electronics
86,electronics
87,retail
88,services
89,food
90,electronics
91,services
92,services
93,electronics
94,electronics
95,retail
96,services
97,retail
98,electronics
99,services
100,retail
