payment_method_id,payment_type
1,upi
2,card
3,card
4,card
5,card
6,upi
7,wallet
8,card
9,card
10,upi
11,upi
12,card
13,card
14,wallet
15,card
16,upi
17,upi
18,card
19,upi
20,card
21,card
22,card
23,wallet
24,card
25,card
26,wallet
27,card
28,netbanking
29,upi
30,upi
31,upi
32,upi
33,card
34,wallet
35,wallet
36,netbanking
37,upi
38,upi
39,upi
40,card
41,upi
42,upi
43,upi
44,card
45,upi
46,upi
47,upi
48,wallet
49,upi
50,card
51,card
52,upi
53,upi
54,netbanking
55,card
56,card
57,upi
58,upi
59,wallet
60,netbanking
61,upi
62,netbanking
63,card
64,upi
65,wallet
66,upi
67,wallet
68,card
69,card
70,upi
71,netbanking
72,card
73,netbanking
74,card
75,upi
76,upi
77,card
78,upi
79,upi
80,upi
81,card
82,card
83,wallet
84,upi
85,netbanking
86,upi
87,netbanking
88,card
89,upi
90,upi
91,card
92,card
93,upi
94,netbanking
95,upi
96,card
97,wallet
98,card
99,card
100,wallet
101,upi
102,wallet
103,netbanking
104,upi
105,card
106,card
107,wallet
108,netbanking
109,card
110,card
111,card
112,card
113,netbanking
114,card
115,upi
116,wallet
117,upi
118,upi
119,card
120,card
121,card
122,card
123,card
124,card
125,card
126,card
127,wallet
128,card
129,upi
130,netbanking
131,card
132,upi
133,netbanking
134,upi
135,card
136,upi
137,upi
138,card
139,card
140,card
141,netbanking
142,card
143,card
144,upi
145,wallet
146,card
147,card
148,upi
149,upi
150,upi
151,netbanking
152,card
153,card
154,card
155,card
156,upi
157,upi
158,card
159,upi
160,card
161,upi
162,card
163,upi
164,card
165,wallet
166,netbanking
167,netbanking
168,netbanking
169,card
170,upi
171,card
172,netbanking
173,card
174,card
175,upi
176,card
177,upi
178,card
179,upi
180,netbanking
181,upi
182,card
183,card
184,card
185,card
186,upi
187,card
188,card
189,card
190,wallet
191,card
192,card
193,upi
194,card
195,wallet
196,card
197,upi
198,upi
199,netbanking
200,upi
201,upi
202,upi
203,upi
204,upi
205,upi
206,upi
207,card
208,card
209,card
210,card
211,upi
212,card
213,upi
214,upi
215,upi
216,upi
217,card
218,card
219,upi
220,netbanking
221,upi
222,upi
223,upi
224,upi
225,upi
226,upi
227,card
228,card
229,card
230,upi
231,upi
232,card
233,card
234,upi
235,card
236,netbanking
237,card
238,card
239,upi
240,card
241,card
242,card
243,card
244,card
245,upi
246,card
247,upi
248,card
249,wallet
250,upi
251,wallet
252,netbanking
253,card
254,upi
255,card
256,netbanking
257,upi
258,card
259,netbanking
260,netbanking
261,wallet
262,card
263,card
264,card
265,upi
266,upi
267,card
268,upi
269,card
270,upi
271,netbanking
272,upi
273,card
274,card
275,card
276,upi
277,upi
278,card
279,wallet
280,upi
281,netbanking
282,upi
283,wallet
284,card
285,card
286,netbanking
287,netbanking
288,upi
289,card
290,card
291,upi
292,netbanking
293,card
294,card
295,upi
296,upi
297,upi
298,upi
299,wallet
300,card
301,upi
302,upi
303,upi
304,netbanking
305,upi
306,upi
307,card
308,upi
309,card
310,card
311,upi
312,upi
313,wallet
314,upi
315,netbanking
316,card
317,upi
318,wallet
319,upi
320,netbanking
321,upi
322,card
323,upi
324,card
325,card
326,card
327,card
328,card
329,netbanking
330,upi
331,netbanking
332,upi
333,card
334,card
335,wallet
336,upi
337,wallet
338,card
339,upi
340,upi
341,wallet
342,card
343,wallet
344,upi
345,netbanking
346,upi
347,upi
348,card
349,netbanking
350,card
351,upi
352,upi
353,upi
354,upi
355,upi
356,upi
357,upi
358,upi
359,upi
360,netbanking
361,upi
362,card
363,upi
364,card
365,card
366,upi
367,upi
368,upi
369,wallet
370,card
371,card
372,card
373,card
374,upi
375,upi
376,upi
377,card
378,upi
379,card
380,upi
381,upi
382,card
383,netbanking
384,upi
385,card
386,upi
387,upi
388,card
389,card
390,upi
391,wallet
392,upi
393,upi
394,upi
395,upi
396,card
397,upi
398,netbanking
399,netbanking
400,wallet
401,card
402,upi
403,upi
404,card
405,card
406,upi
407,upi
408,upi
409,card
410,upi
411,card
412,card
413,upi
414,card
415,wallet
416,upi
417,card
418,card
419,upi
420,card
421,card
422,upi
423,card
424,upi
425,upi
426,card
427,upi
428,upi
429,upi
430,card
431,upi
432,card
433,upi
434,card
435,wallet
436,card
437,netbanking
438,netbanking
439,upi
440,card
441,upi
442,wallet
443,upi
444,upi
445,card
446,netbanking
447,card
448,card
449,card
450,upi
451,netbanking
452,upi
453,card
454,card
455,upi
456,upi
457,card
458,upi
459,upi
460,wallet
461,upi
462,card
463,upi
464,card
465,netbanking
466,upi
467,card
468,upi
469,card
470,card
471,upi
472,upi
473,netbanking
474,upi
475,card
476,upi
477,upi
478,card
479,netbanking
480,wallet
481,card
482,upi
483,upi
484,card
485,upi
486,card
487,card
488,wallet
489,upi
490,card
491,upi
492,wallet
493,upi
494,netbanking
495,netbanking
496,card
497,upi
498,upi
499,upi
500,card
501,card
502,card
503,upi
504,upi
505,upi
506,upi
507,card
508,card
509,upi
510,upi
511,upi
512,card
513,upi
514,netbanking
515,card
516,card
517,upi
518,upi
519,wallet
520,netbanking
521,upi
522,card
523,upi
524,netbanking
525,upi
526,wallet
527,upi
528,card
529,upi
530,upi
531,card
532,card
533,upi
534,card
535,card
536,upi
537,upi
538,upi
539,wallet
540,wallet
541,upi
542,card
543,upi
544,card
545,netbanking
546,upi
547,upi
548,upi
549,upi
550,wallet
551,card
552,wallet
553,card
554,upi
555,netbanking
556,upi
557,card
558,netbanking
559,netbanking
560,card
561,upi
562,netbanking
563,card
564,upi
565,upi
566,card
567,netbanking
568,card
569,wallet
570,upi
571,upi
572,upi
573,upi
574,netbanking
575,upi
576,upi
577,upi
578,card
