transaction_id,account_id,device_id,ip_id,payment_method_id,merchant_id,promotion_id,amount,timestamp,transaction_status,is_fraud,fraud_cluster_id
1,18856,1597,442,6988,7,369,439.39,2026-03-11 18:38:43,success,0,-1
2,1636,3733,3829,7346,7,96,1309.76,2026-02-15 17:59:40,success,1,59
3,14131,185,2091,1818,17,150,875.0,2026-01-05 02:55:06,success,0,-1
4,13054,3719,3416,9174,36,91,1899.23,2026-01-27 11:47:36,success,0,-1
5,9973,2800,1995,2191,28,243,222.96,2026-03-07 06:03:15,success,0,-1
6,18634,1323,3419,3434,94,185,1185.11,2026-01-20 07:49:49,success,0,-1
7,19094,3334,235,9205,11,431,488.63,2026-02-01 22:17:31,success,0,-1
8,8964,1695,1543,1128,36,491,1561.53,2026-01-26 08:52:46,success,0,-1
9,14274,4166,4128,2807,5,398,326.27,2026-03-24 16:27:02,success,0,-1
10,12479,3183,1322,8879,59,95,481.89,2026-03-31 00:48:11,success,0,-1
11,11874,46,769,9749,33,484,3906.44,2026-01-23 14:19:51,success,0,-1
12,2031,4840,3023,6007,40,499,442.36,2026-03-25 07:50:06,success,0,-1
13,4191,3798,4307,5058,99,147,319.61,2026-03-31 01:48:36,success,0,-1
14,19801,2033,4238,9023,20,48,2231.91,2026-03-21 23:40:39,success,0,-1
15,4889,3096,2112,6517,50,396,3235.33,2026-01-05 09:08:32,success,0,-1
16,13035,4174,451,3211,92,203,430.29,2026-01-02 07:57:43,success,0,-1
17,18231,2442,3677,9960,7,122,2787.71,2026-02-02 19:20:19,success,0,-1
18,12049,3590,1902,5987,51,278,633.56,2026-01-19 06:06:30,success,0,-1
19,4301,4099,3943,7849,17,432,2669.47,2026-02-22 09:00:29,success,0,-1
20,4075,3215,2197,4716,21,409,379.08,2026-02-16 06:55:41,success,1,16
21,647,2442,291,9653,44,22,709.38,2026-01-21 01:20:49,success,0,-1
22,14463,1195,3041,5366,55,405,1072.92,2026-01-31 21:31:23,success,0,-1
23,5325,1122,4865,6515,51,340,1745.71,2026-01-01 15:51:26,success,0,-1
24,12806,149,3933,1667,16,53,2023.52,2026-01-29 17:41:09,success,0,-1
25,9612,2284,297,3952,46,127,2726.43,2026-02-15 13:42:58,success,0,-1
26,11382,2348,3287,1570,94,224,217.97,2026-01-19 13:01:13,success,0,-1
27,7640,1823,4815,4718,51,207,122.67,2026-03-08 00:51:01,success,0,-1
28,10579,3045,1075,1456,54,134,779.14,2026-03-08 18:48:43,success,0,-1
29,18717,1559,3920,6158,15,36,571.17,2026-01-19 23:40:10,success,0,-1
30,16529,2389,3156,1402,1,356,1885.59,2026-01-28 13:10:20,success,0,-1
31,8372,3873,3052,9156,46,247,818.59,2026-03-01 07:18:24,success,0,-1
32,18826,1922,3834,806,18,373,892.98,2026-02-25 14:02:25,success,0,-1
33,17782,338,2906,2599,70,25,2418.76,2026-02-24 17:37:47,success,0,-1
